table_catalog,table_schema,table_name,column_name,ordinal_position,is_nullable,data_type,is_generated,generation_expression,is_stored,is_hidden,is_updatable,is_system_defined,is_partitioning_column,clustering_ordinal_position
bigquery-public-data,stackoverflow,posts_answers,id,1,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,title,2,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,body,3,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,accepted_answer_id,4,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,answer_count,5,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,comment_count,6,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,community_owned_date,7,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,creation_date,8,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,favorite_count,9,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,last_activity_date,10,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,last_edit_date,11,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,last_editor_display_name,12,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,last_editor_user_id,13,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,owner_display_name,14,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,owner_user_id,15,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,parent_id,16,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,post_type_id,17,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,score,18,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,tags,19,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_answers,view_count,20,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,id,1,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,display_name,2,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,about_me,3,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,age,4,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,creation_date,5,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,last_access_date,6,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,location,7,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,reputation,8,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,up_votes,9,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,down_votes,10,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,views,11,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,profile_image_url,12,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,users,website_url,13,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,id,1,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,title,2,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,body,3,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,accepted_answer_id,4,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,answer_count,5,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,comment_count,6,YES,INT64,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,community_owned_date,7,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,creation_date,8,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,favorite_count,9,YES,STRING,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,last_activity_date,10,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
bigquery-public-data,stackoverflow,posts_orphaned_tag_wiki,last_edit_date,11,YES,TIMESTAMP,NEVER,NA,NA,NO,NA,NO,NO,NA
